MRJD, smoothRV(m/s), error(m/s)
16218.678333, -0.68295, 0.9857 
16218.689271, -0.58346, 0.9427 
16218.698866, -0.43493, 0.9833 
16218.708958, -0.38204, 0.9350 
16218.719363, -0.50459, 0.9261 
16219.771123, +2.52691, 1.1398 
16219.781586, +2.52691, 1.1209 
16219.792407, +2.52691, 1.1365 
16219.802975, +2.52691, 0.9893 
16219.817477, +2.52691, 1.0513 
16219.828113, +2.52691, 1.1547 
16219.838715, +2.52691, 1.1403 
16220.672361, +2.43951, 1.0166 
16220.680370, +2.29624, 0.9960 
16220.688449, +2.27884, 1.0802 
16220.696285, +2.27884, 1.0143 
16220.704873, +2.07786, 1.0539 
16220.712697, +2.07786, 1.0129 
16220.720498, +2.07786, 1.1420 
16220.728345, +2.07786, 1.1086 
16221.664630, +1.95583, 1.0426 
16221.675278, +1.88115, 0.9272 
16221.685880, +1.80111, 0.9899 
16221.696400, +1.70821, 1.0712 
16223.648229, +0.63909, 1.0587 
16223.656771, +0.74827, 1.1506 
16223.665382, +0.74827, 1.1018 
16223.674178, +0.73451, 1.0462 
16223.686516, +0.71745, 1.0385 
16223.695359, +0.63453, 1.0711 
16223.703785, +0.56642, 1.1651 
16223.711829, +0.56642, 1.0557 
16224.621632, +0.56642, 1.0104 
16224.632558, +0.56642, 1.1678 
16224.643484, +0.56642, 1.1778 
16224.653669, +0.47959, 1.2718 
16224.667824, +0.58120, 1.1235 
16224.678414, +0.58537, 1.2194 
16224.688507, +0.35861, 1.2105 
16224.699722, +0.33411, 1.4532 
16225.651586, -0.02252, 0.8968 
16225.661875, -0.26899, 0.9085 
16225.671910, -0.71310, 0.9896 
16225.682118, -0.88577, 0.9878 
16226.667766, -2.56648, 0.9539 
16226.688137, -3.09026, 0.9020 
16226.697581, -3.09026, 0.9738 
16226.711111, -3.09026, 1.0358 
16226.720174, -3.09026, 0.9706 
16226.729329, -3.09026, 1.0972 
16226.738657, -3.09026, 1.0878 
16229.711262, -0.56977, 1.0081 
16229.722211, -0.56977, 0.9545 
16229.732801, -0.56977, 0.9864 
16229.743241, -0.56977, 0.9831 
16229.773970, -0.56977, 0.9997 
16229.784630, -0.56977, 1.0327 
16229.795162, -0.56977, 0.9381 
16229.805868, -0.56977, 0.9268 
16230.636435, -0.56977, 0.9973 
16230.646481, -0.56977, 1.0316 
16230.655660, -0.56977, 0.9996 
16230.664410, -0.56977, 1.0606 
16230.678634, -0.56977, 1.1406 
16230.686308, -0.56977, 1.1852 
16230.694155, -0.56977, 1.1016 
16230.702674, -0.56977, 0.9737 
16231.746979, -0.22768, 0.9222 
16231.757477, -0.22768, 1.0233 
16231.768310, -0.22768, 1.0287 
16231.778646, -0.22768, 0.9918 
16231.791123, -0.22768, 1.0011 
16231.801678, -0.22768, 0.9297 
16231.812106, -0.22768, 1.0878 
16231.823090, -0.22768, 1.0063 
16232.636435, -0.12490, 1.0145 
16232.646447, -0.12490, 1.0053 
16232.655833, -0.09097, 1.0426 
16232.664699, -0.02013, 1.1042 
16232.683183, -0.00218, 1.0605 
16232.691863, -0.00218, 1.0956 
16232.700405, -0.00218, 1.0052 
16232.709016, -0.00218, 1.1431 
16233.608669, +0.36825, 0.9741 
16233.617836, +0.36825, 0.9756 
16233.626736, +0.36825, 0.9871 
16233.635613, +0.32409, 0.9159 
16233.646690, +0.47530, 0.9229 
16233.655590, +0.47745, 0.9712 
16233.664618, +0.63725, 1.0578 
16233.673831, +0.59364, 1.0418 
16234.629965, +0.38756, 1.0491 
16234.640440, -0.07096, 0.8629 
16234.651146, -0.29336, 1.0011 
16234.661852, -0.40278, 0.9606 
16235.625231, -0.74709, 0.9468 
16235.635035, -0.79916, 0.9798 
16235.644537, -1.11856, 0.9879 
16235.655185, -1.44464, 0.9568 
16236.705312, -2.63846, 1.0407 
16236.715949, -2.63846, 1.0705 
16236.726574, -2.63846, 1.0559 
16236.737303, -2.63846, 0.9810 
16237.614838, -2.90878, 1.0408 
16237.625382, -2.82002, 1.0040 
16237.635880, -2.93817, 1.0350 
16237.646076, -3.12710, 1.0517 
16237.655648, -3.19706, 1.1242 
16237.664433, -3.25759, 1.1939 
16237.673576, -3.25759, 1.1740 
16237.683333, -3.25759, 1.0002 
16238.590127, -3.82332, 1.1397 
16238.600764, -3.82332, 1.0947 
16238.611493, -3.82332, 1.0856 
16238.621667, -3.96981, 1.1592 
16238.633958, -3.99937, 1.1057 
16238.644248, -3.98225, 1.1090 
16238.653912, -4.17522, 1.1667 
16238.663229, -4.29799, 1.1272 
16239.663148, -3.96647, 1.0065 
16239.673183, -3.85617, 1.1116 
16239.682928, -3.85617, 0.9945 
16239.693009, -3.85617, 1.0574 
16241.717963, -3.25675, 1.0022 
16241.728611, -3.20508, 0.9763 
16241.739352, -3.23583, 0.9429 
16241.749780, -3.48643, 1.0062 
16242.715764, -2.82712, 0.9666 
16242.726389, -2.69999, 1.0054 
16242.736968, -2.42693, 1.0598 
16242.747558, -2.15900, 1.0445 
16243.662778, -2.20585, 0.9895 
16243.672789, -2.20585, 1.0026 
16243.683519, -2.20585, 0.9766 
16243.694120, -2.20585, 0.9495 
16244.630035, -1.74527, 1.0230 
16244.640741, -1.74527, 0.9621 
16244.651111, -1.74527, 1.0193 
16244.661852, -1.74527, 1.0007 
16245.664734, -1.47941, 0.9843 
16245.674931, -1.47941, 1.0577 
16245.684687, -1.47941, 1.0094 
16245.695012, -1.47941, 1.0429 
16248.621296, +2.12005, 0.9977 
16248.632188, +2.12005, 0.9202 
16248.642894, +2.12005, 1.0084 
16248.653461, +2.12005, 0.9793 
16249.664236, +0.25845, 1.0492 
16250.712407, +1.40305, 0.9129 
16250.722928, +1.40305, 0.9402 
16250.733715, +1.40305, 0.9755 
16250.744340, +1.40305, 0.9192 
16251.604005, +1.40305, 0.9664 
16251.614965, +1.40305, 0.9250 
16251.625475, +1.40305, 1.0311 
16251.636111, +1.40305, 0.9392 
16253.648588, +2.76383, 0.8668 
16253.658495, +2.76383, 0.9591 
16253.668009, +2.09752, 0.8847 
16253.677569, +1.88473, 0.9255 
16254.666377, +1.79626, 0.9981 
16254.675764, +1.54603, 1.0765 
16254.685729, +1.49965, 0.9683 
16254.695660, +1.49965, 0.9911 
16256.703831, -1.35071, 0.9835 
16256.714745, -1.35071, 0.9924 
16256.724988, -1.35071, 0.9712 
16256.735521, -1.35071, 0.9817 
16257.666019, -1.35071, 0.9523 
16257.676817, -1.35071, 1.0592 
16257.687350, -1.35071, 0.9638 
16257.697998, -1.35071, 0.9829 
16259.595451, -1.79865, 0.9620 
16259.604954, -1.79865, 0.9820 
16259.614051, -1.79865, 0.9772 
16259.622998, -1.79865, 1.0479 
16262.599734, -3.02355, 1.0188 
16262.609595, -3.02355, 1.1223 
16262.619734, -2.98321, 1.0709 
16262.629572, -3.00465, 1.0948 
16263.589144, -3.44582, 1.1444 
16263.599687, -3.62075, 1.1113 
16263.610451, -3.57091, 1.1081 
16263.620556, -3.65348, 1.0330 
16264.576806, -3.81726, 1.1654 
16264.587454, -3.81726, 1.2310 
16264.598079, -3.89728, 1.1862 
16264.608727, -4.06356, 1.2533 
16265.614583, -2.03979, 1.0110 
16265.625220, -2.03979, 1.0071 
16265.635729, -2.03979, 1.0713 
16265.646412, -2.03979, 1.1258 
16266.570405, -2.03979, 0.9910 
16266.581100, -2.03979, 1.0539 
16266.591713, -2.03979, 1.0201 
16266.602303, -2.03979, 1.1134 
16268.556076, +0.13953, 0.9747 
16268.564190, +0.13953, 0.9658 
16268.572373, +0.13953, 1.0159 
16268.580243, +0.13953, 0.9835 
16269.600602, -1.34696, 0.9617 
16269.610509, -1.34696, 0.9930 
16269.621111, -1.34696, 0.9545 
16270.539317, -1.34696, 1.0176 
16270.548148, -1.34696, 1.0587 
16270.557512, -1.34696, 1.0534 
16270.568171, -1.34696, 1.0666 
16271.592546, -0.68701, 0.9735 
16271.603183, -0.68701, 0.9203 
16271.613715, -0.68701, 0.9585 
16271.624444, -0.68701, 1.0078 
16276.531343, +1.05230, 0.8989 
16276.554063, +0.99753, 0.8575 
16276.590313, +0.99753, 0.8852 
16276.649444, +1.16272, 0.9100 
16277.516539, +1.16272, 0.9634 
16277.546678, +1.34409, 0.9309 
16277.603438, +1.60542, 0.9953 
16277.622211, +1.68975, 1.0131 
16278.528171, +1.77878, 1.0042 
16278.546829, +1.92951, 0.9382 
16278.582824, +2.05117, 1.0285 
16278.609734, +2.36271, 1.0550 
16279.517164, +2.41995, 1.0417 
16279.554097, +2.50739, 1.1188 
16279.610359, +2.54140, 1.0043 
16279.652743, +2.59365, 1.1020 
16280.587998, +2.96407, 1.1192 
16280.643970, +2.68169, 1.1284 
16282.536979, +3.50812, 0.9648 
16282.579063, +3.63956, 0.9538 
16282.657222, +3.44691, 0.9324 
16282.671181, +3.44691, 0.9209 
16283.544433, +3.60989, 0.9709 
16283.616586, +2.86581, 0.9840 
16283.638472, +2.86581, 0.9933 
16283.681493, +2.66906, 0.9741 
16284.529803, +2.57475, 1.1654 
16284.578449, +2.63688, 0.9838 
16284.599491, +2.63688, 0.9466 
16284.654884, +2.48796, 0.9629 
16285.525081, +2.25925, 0.9861 
16285.557697, +2.12233, 0.9343 
16285.646389, +2.67467, 0.9934 
16288.521863, +4.03298, 0.9217 
16288.560972, +2.94336, 0.9207 
16288.643148, +2.31760, 0.8936 
16289.522164, +2.19923, 1.0150 
16289.581840, +1.90631, 0.9942 
16289.603900, +1.76365, 0.9632 
16289.619340, +1.76365, 1.0550 
16290.518762, +1.27026, 0.9739 
16290.559826, +1.27239, 0.9355 
16290.582095, +1.50022, 0.9574 
16290.642049, +1.16697, 0.8971 
16291.518704, +1.25460, 0.9309 
16291.557199, +1.17391, 0.9824 
16291.642315, +0.70702, 1.0377 
16295.589190, -3.05402, 1.1154 
16295.612708, -3.01975, 1.1571 
16295.636296, -3.01975, 1.1853 
16296.532998, -2.74414, 0.9315 
16296.544618, -2.74414, 1.0079 
16296.574294, -2.57858, 1.0560 
16296.589375, -2.43404, 1.0378 
16297.525764, -2.55421, 1.0375 
16297.563704, -2.15224, 0.9563 
16298.526771, -1.67520, 1.0203 
16298.586910, -1.96103, 0.8726 
16298.608287, -2.04557, 0.9918 
16298.622419, -2.09801, 0.9039 
16299.531169, -2.14588, 0.9948 
16299.562755, -2.14588, 0.9764 
16299.590984, -2.10883, 0.9516 
16299.618472, -2.39070, 1.0229 
16304.529352, -0.53665, 1.0964 
16304.555532, -1.87713, 1.1191 
16304.592338, -1.59704, 1.0757 
16304.604664, -1.59704, 1.1422 
16305.529838, -1.99300, 1.1453 
16305.551829, -1.99300, 1.1799 
16305.574491, -2.32329, 1.1612 
16307.531238, -1.39154, 1.1094 
16307.555023, -0.89302, 1.1221 
16307.579178, -0.89302, 1.1497 
16308.521562, -0.89302, 1.1120 
16308.543113, -0.82707, 1.1511 
16309.527604, +0.34448, 1.0304 
16309.550162, +0.24349, 1.0435 
16310.540498, +0.82762, 1.0763 
16310.561389, +0.76819, 1.1068 
16311.528032, +0.93698, 1.5080 
16311.552604, +0.99042, 1.1820 
16311.576065, +0.46442, 1.2073 
16312.534815, +0.84288, 1.1153 
16312.570405, +0.80484, 1.2197 
16314.543449, -0.23623, 1.1065 
16314.554005, -0.23623, 1.1371 
16314.574259, -0.23623, 1.1360 
16316.535868, +1.48110, 1.0881 
16316.546644, +1.62976, 1.0350 
16316.572257, +1.84977, 1.0248 
16316.582801, +1.87049, 0.9967 
16317.527616, +1.93411, 1.0477 
16317.538356, +2.29968, 1.1135 
16317.566736, +3.03833, 1.1702 
16317.577361, +3.26026, 1.0801 
16318.520197, +3.23678, 1.1307 
16318.530903, +3.10248, 1.0891 
16318.557998, +2.41098, 1.0517 
16318.568588, +2.23653, 1.1256 
16319.523623, +2.23860, 1.1099 
16319.534340, +2.10995, 1.1714 
16319.551539, +2.10995, 1.2901 
16319.561979, +1.37116, 1.1466 
16321.538623, +3.19025, 1.0177 
16321.549456, +2.83564, 1.1085 
16321.570428, +2.59856, 1.0345 
16322.529005, +2.59856, 1.1145 
16322.539711, +1.65788, 0.9657 
16322.565313, +1.18302, 1.0534 
16323.531296, +0.27346, 1.1726 
16323.541771, -0.01248, 1.1702 
16323.570764, -0.48770, 1.0667 
16328.517720, +2.71567, 1.0021 
16328.524792, +2.29286, 1.0283 
16328.531968, +1.82193, 1.0965 
16328.539190, +2.04581, 1.0396 
16328.546111, +1.98294, 1.1410 
16329.518391, +2.17532, 1.1122 
16329.525509, +2.63924, 1.1853 
16329.532593, +3.03498, 1.1985 
16329.539861, +2.41351, 1.2701 
16329.546933, +1.55336, 1.1582 
16330.520069, +1.72518, 1.5304 
16330.528484, +2.12006, 1.4709 
16330.534618, +1.90677, 1.5098 
16330.542060, +1.84025, 1.6605 
16331.527338, +0.98864, 1.5276 
16331.534734, +0.27954, 1.5805 
16331.541192, +0.26437, 1.5754 
16331.548704, +1.24580, 1.7908 
16332.520868, +1.33799, 1.5543 
16332.527998, +1.23582, 1.4492 
16332.535162, +1.27351, 1.3723 
16332.542315, +1.17200, 1.4185 
16332.549421, +1.77709, 1.5059 
16336.517998, +0.14736, 1.2980 
16336.525162, +0.14736, 1.2622 
16336.532396, +0.14736, 1.3665 
16336.539491, +0.14736, 1.3773 
16445.923009, -0.72232, 0.8986 
16445.934028, -0.72232, 0.9149 
16448.920417, +0.13452, 0.9947 
16448.948391, +0.13452, 0.8873 
16457.905266, -3.51057, 1.0554 
16457.946701, -3.47135, 1.0375 
16458.899329, -3.47135, 0.9280 
16458.940845, -3.68884, 0.8963 
