MRJD, smoothRV(m/s), error(m/s)
16213.630903, -1.17196, 0.9575 
16213.641331, -1.39372, 1.0064 
16213.683229, -0.79627, 0.9970 
16213.693079, -0.49135, 1.0056 
16213.701979, -0.82899, 1.0486 
16213.710602, -0.99737, 0.9930 
16214.639398, -1.24679, 1.0271 
16214.649630, -1.25219, 1.0193 
16214.660174, -1.29706, 1.0194 
16214.670637, -1.30772, 0.9820 
16214.686794, -1.31051, 0.9973 
16214.696655, -1.03170, 0.9726 
16214.706296, -0.70612, 0.9937 
16214.715706, -0.86930, 0.9951 
16215.605081, -0.99096, 0.9901 
16215.615579, -0.74440, 0.9844 
16215.625972, -0.41036, 0.9879 
16215.636192, -0.65993, 0.9825 
16215.658542, -0.89955, 0.9087 
16215.668449, -0.94718, 1.0315 
16215.678750, -1.11811, 0.9410 
16215.688819, -1.51179, 0.9422 
16216.648993, -1.81527, 1.0905 
16216.659676, -1.70939, 1.0314 
16216.670231, -1.87832, 0.9934 
16216.681215, -1.74702, 0.9986 
16217.649294, -1.55199, 1.1156 
16217.659687, -1.17864, 1.1532 
16217.670625, -1.07855, 1.1383 
16217.679792, -1.16040, 1.2432 
16217.694850, -1.10150, 1.0015 
16217.703229, -0.62701, 1.0229 
16217.713148, -0.61081, 1.0624 
16217.724537, -0.52761, 1.1162 
16218.648681, -0.15521, 1.0493 
16218.658148, -0.17979, 0.9953 
16218.667407, -0.06542, 0.9842 
16218.678333, +0.28778, 0.9857 
16218.689271, +0.69718, 0.9427 
16218.698866, +0.93264, 0.9833 
16218.708958, +1.21070, 0.9350 
16218.719363, +1.78469, 0.9261 
16219.771123, +1.92791, 1.1398 
16219.781586, +2.21009, 1.1209 
16219.792407, +2.40800, 1.1365 
16219.802975, +2.41613, 0.9893 
16219.817477, +2.43677, 1.0513 
16219.828113, +2.37805, 1.1547 
16219.838715, +2.99932, 1.1403 
16220.672361, +2.74462, 1.0166 
16220.680370, +2.52093, 0.9960 
16220.688449, +2.73923, 1.0802 
16220.696285, +2.50166, 1.0143 
16220.704873, +2.20373, 1.0539 
16220.712697, +1.90927, 1.0129 
16220.720498, +1.16705, 1.1420 
16220.728345, +1.12658, 1.1086 
16221.664630, +0.34494, 1.0426 
16221.675278, +0.00385, 0.9272 
16221.685880, +0.18596, 0.9899 
16221.696400, -0.01525, 1.0712 
16223.648229, +0.35829, 1.0587 
16223.656771, +0.73093, 1.1506 
16223.665382, +1.19699, 1.1018 
